"trial_number","layer_from","node_from","layer_to","node_to"
319,1,258,"2",258
319,1,216,"11",216
319,1,216,"12",216
319,1,216,"2",216
319,1,216,"3",216
319,1,216,"4",216
319,1,216,"8",216
319,1,113,"2",113
319,1,225,"3",225
319,1,225,"4",225
319,1,284,"10",284
319,1,284,"12",284
319,1,284,"2",284
319,1,284,"3",284
319,1,284,"4",284
319,1,284,"6",284
319,1,284,"7",284
319,1,284,"8",284
319,1,54,"2",54
319,1,170,"12",170
319,1,170,"13",170
319,1,170,"14",170
319,1,170,"2",170
319,1,170,"3",170
319,1,170,"4",170
319,1,170,"5",170
319,1,170,"6",170
319,1,170,"7",170
319,1,170,"8",170
319,1,262,"2",262
319,1,99,"4",99
319,1,45,"2",45
319,1,194,"2",194
319,1,242,"10",242
319,1,242,"14",242
319,1,242,"2",242
319,1,242,"3",242
319,1,242,"4",242
319,1,242,"9",242
319,1,104,"9",104
319,1,72,"2",72
319,1,86,"2",86
319,1,160,"2",160
319,1,187,"10",187
319,1,187,"11",187
319,1,187,"12",187
319,1,187,"2",187
319,1,187,"5",187
319,1,187,"6",187
319,1,187,"7",187
319,1,187,"8",187
319,1,187,"9",187
319,1,189,"2",189
319,1,230,"2",230
319,1,232,"2",232
319,1,273,"2",273
319,1,49,"2",49
319,10,126,"11",126
319,10,126,"13",126
319,10,126,"14",126
319,10,126,"9",126
319,10,137,"8",137
319,10,165,"11",165
319,10,165,"12",165
319,10,165,"13",165
319,10,165,"14",165
319,10,165,"5",165
319,10,165,"6",165
319,10,165,"7",165
319,10,165,"8",165
319,10,165,"9",165
319,10,190,"13",190
319,10,190,"14",190
319,10,241,"7",241
319,10,241,"8",241
319,10,254,"14",254
319,10,254,"8",254
319,10,254,"9",254
319,10,274,"11",274
319,10,274,"12",274
319,10,274,"13",274
319,10,274,"14",274
319,10,274,"3",274
319,10,274,"4",274
319,10,274,"5",274
319,10,274,"6",274
319,10,274,"7",274
319,10,274,"8",274
319,10,274,"9",274
319,10,275,"11",275
319,10,275,"12",275
319,10,275,"13",275
319,10,275,"14",275
319,10,275,"3",275
319,10,275,"4",275
319,10,275,"5",275
319,10,275,"6",275
319,10,275,"7",275
319,10,275,"8",275
319,10,275,"9",275
319,10,278,"9",278
319,10,60,"11",60
319,10,60,"12",60
319,10,60,"5",60
319,10,60,"6",60
319,10,60,"7",60
319,10,60,"8",60
319,10,60,"9",60
319,10,92,"11",92
319,10,92,"12",92
319,10,92,"13",92
319,10,92,"14",92
319,10,92,"3",92
319,10,92,"5",92
319,10,92,"6",92
319,10,92,"7",92
319,10,92,"8",92
319,10,92,"9",92
319,10,138,"11",138
319,10,138,"12",138
319,10,138,"13",138
319,10,138,"14",138
319,10,138,"9",138
319,10,139,"13",139
319,10,139,"5",139
319,10,163,"11",163
319,10,163,"12",163
319,10,163,"13",163
319,10,163,"14",163
319,10,163,"3",163
319,10,163,"5",163
319,10,163,"6",163
319,10,163,"8",163
319,10,163,"9",163
319,10,101,"12",101
319,10,101,"2",101
319,10,101,"3",101
319,10,101,"4",101
319,10,101,"8",101
319,10,284,"1",284
319,10,284,"12",284
319,10,284,"2",284
319,10,284,"3",284
319,10,284,"4",284
319,10,284,"6",284
319,10,284,"7",284
319,10,284,"8",284
319,10,166,"9",166
319,10,44,"12",44
319,10,44,"5",44
319,10,44,"6",44
319,10,44,"7",44
319,10,55,"12",55
319,10,55,"13",55
319,10,55,"14",55
319,10,55,"3",55
319,10,55,"4",55
319,10,55,"5",55
319,10,55,"6",55
319,10,55,"7",55
319,10,55,"8",55
319,10,55,"9",55
319,10,56,"12",56
319,10,56,"5",56
319,10,56,"7",56
319,10,266,"7",266
319,10,266,"8",266
319,10,109,"8",109
319,10,181,"9",181
319,10,211,"14",211
319,10,211,"6",211
319,10,211,"9",211
319,10,50,"3",50
319,10,50,"4",50
319,10,50,"5",50
319,10,50,"6",50
319,10,50,"7",50
319,10,50,"8",50
319,10,50,"9",50
319,10,112,"6",112
319,10,141,"11",141
319,10,141,"12",141
319,10,141,"13",141
319,10,141,"14",141
319,10,141,"9",141
319,10,187,"1",187
319,10,187,"11",187
319,10,187,"12",187
319,10,187,"2",187
319,10,187,"5",187
319,10,187,"6",187
319,10,187,"7",187
319,10,187,"8",187
319,10,187,"9",187
319,10,193,"14",193
319,10,242,"1",242
319,10,242,"14",242
319,10,242,"2",242
319,10,242,"3",242
319,10,242,"4",242
319,10,242,"9",242
319,10,140,"14",140
319,10,140,"8",140
319,10,276,"5",276
319,10,276,"6",276
319,10,276,"8",276
319,10,175,"9",175
319,11,111,"14",111
319,11,111,"4",111
319,11,111,"5",111
319,11,111,"6",111
319,11,111,"7",111
319,11,111,"8",111
319,11,165,"10",165
319,11,165,"12",165
319,11,165,"13",165
319,11,165,"14",165
319,11,165,"5",165
319,11,165,"6",165
319,11,165,"7",165
319,11,165,"8",165
319,11,165,"9",165
319,11,192,"12",192
319,11,192,"14",192
319,11,192,"7",192
319,11,192,"8",192
319,11,215,"12",215
319,11,215,"6",215
319,11,255,"12",255
